lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
1.12;F_N;fridge;NINHYDRIN SPRAY REAGENT;100;ml;SIGMA-ALDRICH;1;N1286-100ML;https://www.sigmaaldrich.com/IT/en/sds/sigma/n1286
1.12;F_P;fridge;PECTINASE from Aspergillus niger;;;SIGMA ALDRICH;1;P4716-5KU;https://www.sigmaaldrich.com/IT/en/sds/sigma/p4716
1.12;F_P;fridge;PECTINASE;100;mL;NCBE;1;-;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Pectinex.pdf
1.12;F_P;fridge;PECTIN METHYLESTERASE;100;mL;NCBE;1;-;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/NovoShape.pdf
1.12;F_P;fridge;Peroxidase from horseradish lyophilized;100;mg;SIGMA-ALDRICH;2;77332;https://www.sigmaaldrich.com/IT/en/sds/sigma/p8375
1.12;F_P;fridge;PHOSPHOMOLYBDIC ACID SPRAY REAGENT;100;ml;SIGMA-ALDRICH;1;P4869;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p4869
1.12;F_S;fridge;SODIUM PHENYLPHOSPHATE DIBASIC DIHYDRATE;10;g;SIGMA-ALDRICH;1;P7751-10G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p7751
1.12;F_S;fridge;SODIUM HYPOCHLORITE SOLUTION;2,5;L;MERCK;1;1.05614;https://www.sigmaaldrich.com/IT/en/sds/mm/1.05614
1.12;AB_C;1;CALCIUM HYDROXIDE;500;g;SIGMA-ALDRICH;1;31219-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/239232
1.12;AB_P;1;POTASSIUM HYDROXIDE;1;kg;SIGMA-ALDRICH;1;8.14353;https://www.sigmaaldrich.com/IT/en/sds/sigald/221473
1.12;AB_S;1;SODIUM HYDROXIDE;1;kg;J.T. BACKER;2;404;https://it.vwr.com/assetsvc/asset/en_GB/id/37823087/contents
1.12;AB_A;1;AMMONIUM BUFFER SOLUTION;1;L;MERCK;2;1094781000;https://www.sigmaaldrich.com/IT/en/sds/mm/1.09478
1.12;AB_P;1;Puffer pH=5;2,5;L;FLUKA;1;95304;https://lab.honeywell.com/sm/api/rc/documents/download/33544-1L_SDS_GB_E?appId=76&catNo=33544-1L&matnr=10192509&lang=E&country=GB&type=SDS
1.12;AB_N;2;DINITROSALICYLIC ACID;100;g;SIGMA-ALDRICH;1;D0550-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/d0550
1.12;AB_A;2;ACETIC ACID GLACIAL;1;L;MERCK;2;1.00063.1011;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00063
1.12;AB_A;2;ACETIC ACID GLACIAL;1;L;FLUKA;1;33209;https://lab.honeywell.com/sm/api/rc/documents/download/33209-1L-GL_SDS_GB_E?appId=76&catNo=33209-1L-GL&matnr=10192248&lang=E&country=GB&type=SDS
1.12;AB_H;2;HYDROCHLORIC ACID 1mol/l in ETOH;1;L;FLUKA;1;31088;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00327
1.12;AB_H;2;HYDROCHLORIC ACID 36%;1;L;MERCK;1;1.15186;https://www.sigmaaldrich.com/IT/en/sds/mm/1.15186
1.12;AB_P;2;METAPHOSPHORIC ACID;250;g;VWR;1;20632236;https://it.vwr.com/assetsvc/asset/en_GB/id/7668423/contents
1.12;AB_P;2;PHOSPHORIC ACID;500;mL;HONEYWELL;1;79606-500ML;https://lab.honeywell.com/sm/api/rc/documents/download/79606-500ML_SDS_GB_E?appId=76&catNo=79606-500ML&matnr=10641887&lang=E&country=GB&type=SDS
1.12;AB_S;2;SULFURIC ACID 95%-97%;2,5;L;MERCK;1;1.00731.2510;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00731
1.12;AB_S;2;SULFURIC ACID 95%-97%;2,5;L;J.T.BAKER;1;6057;https://it.vwr.com/assetsvc/asset/en_GB/id/33996518/contents
1.12;AB_S;2;SULFURIC ACID 90%-91% FOR GERBER FAT DETERMINATION;u;L;MERCK;1;1007292500;https://www.sigmaaldrich.com/IT/it/sds/mm/1.00729
1.12;AB_A;3;ACETONE;5;L;VWR;1;20063.365;https://it.vwr.com/assetsvc/asset/en_GB/id/7468850/contents
